boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Queens,"""Uncle"" Vito F. Maranzano Glendale Playground",9507,0,1.15
Brooklyn,100 Quincy Street Community Garden,0,0,0.05
Brooklyn,100% Playground,36746,0,1.62
Manhattan,11 Bc Serenity Garden,5,0,0.05
Manhattan,110th Street Block Association Garden,130,0,0.05
Manhattan,117th St Community Garden,0,0,0.08
Manhattan,132 St Block Association Park,154,0,0.17
Bronx,138th St. Community Garden,0,0,0.4
Manhattan,14 Honey Locusts Park,1675,0,0.3
Bronx,176th Street Community Garden,0,0,0.21
Queens,225 Street Malls,299,0,0.4
Brooklyn,400 Montauk Av Block Assn,0,0,0.09
Bronx,5 Borough Shops,164784,0,1.33
Manhattan,5th St Slope Garden,117,0,0.1
Brooklyn,61 Franklin St Garden,0,0,0.04
Manhattan,6Bc Botanical Garden,5,0,0.18
Manhattan,6th St And Ave B Community Garden,121,0,0.39
Brooklyn,700 Decatur St Block Association,0,0,0.12
Bronx,811 Family And Friends Garden,0,0,0.06
Queens,97th Street Block Association,3913,0,0.06
Manhattan,9th St Community Garden Park,365,0,0.48
Brooklyn,A Better Community Garden,0,0,0.19
Manhattan,A Philip Randolph Square,7711,0,0.07
Bronx,A. Badillo Community Rose Garden And Park,117,0,0.27
Queens,A.R.R.O.W. Field House,490,0,0.29
Manhattan,Abc Playground,7089,0,0.45
Manhattan,Abe Lebewohl Park,2238,0,0.16
Manhattan,Abe Lebewohl Triangle,1667,0,0.01
Brooklyn,Abe Stark Skating Rink,2195,0,8.81
Bronx,Abigail Playground,9407,0,0.53
Manhattan,Abingdon Square,4834,0,0.22
Manhattan,Abraham Lincoln Playground,53351,0,0.99
Manhattan,Abyssinian Tot Lot,7163,0,0.12
Manhattan,Adam Clayton Powell Jr. Malls,12077,0,1.68
Brooklyn,Adam Yauch Park,8540,0,1.36
Bronx,Admiral Farragut Playground,5455,0,1.36
Queens,Admiral Playground,5903,0,0.76
Brooklyn,Admiral Triangle,5297,0,0.43
Staten Island,Aesop Park,8418,0,0.91
Bronx,Agnes Haywood Playground,6045,0,1.32
Manhattan,Ahearn Park,2232,0,0.09
Brooklyn,Aimee Triangle,1586,0,0.11
Queens,Al Stabile Playground,7470,0,0.49
Queens,Alameda Malls,1365,0,0.55
Brooklyn,Albemarle Playground,21738,0,0.54
Brooklyn,Alben Triangle,1654,0,0.01
Manhattan,Albert Capsouto Park,7214,0,0.37
Brooklyn,Albert J. Parham Playground,52667,0,1.25
Queens,Alexander Grey Triangle,156,0,0.01
Manhattan,Alexander Hamilton Playground,22913,0,0.81
Bronx,Alexander's Alley,3779,0,0.11
Manhattan,Alfred E. Smith Playground,16753,0,1.75
Staten Island,Alice Austen Park,23391,0,15.52
Manhattan,Alice Kornegay Triangle,24053,0,0.88
